query_name,original_query_size,nb_continuation_queries,sum_continuation_queries_size,sum_ratio
query_394,0.12,1,0.19,1.58
query_466,0.24,1,0.58,2.39
query_667,0.12,1,0.52,4.25
query_353,0.17,0,0.00,0.00
query_601,0.21,1,0.28,1.37
query_597,0.15,1,0.22,1.46
query_346,0.38,1,0.71,1.91
query_598,0.15,1,0.22,1.46
query_356,0.21,1,0.57,2.75
query_599,0.15,1,0.22,1.46
query_424,0.31,0,0.00,0.00
query_144,0.17,1,0.25,1.45
query_299,0.12,1,0.19,1.57
query_386,0.20,1,0.28,1.37
query_167,0.29,1,0.63,2.14
query_662,0.12,1,0.19,1.57
query_455,0.19,0,0.00,0.00
query_391,0.12,1,0.19,1.58
query_148,0.26,1,0.34,1.32
query_679,0.12,0,0.00,0.00
query_513,0.15,1,0.58,3.79
query_347,0.38,1,0.71,1.86
query_360,0.47,1,0.81,1.70
query_434,0.26,1,0.34,1.32
query_395,0.12,1,0.19,1.58
query_512,0.29,2,1.50,5.25
query_14,0.16,0,0.00,0.00
query_439,0.12,0,0.00,0.00
query_456,0.16,0,0.00,0.00
query_385,0.15,1,0.65,4.26
query_396,0.29,1,0.37,1.29
query_354,0.21,1,0.57,2.75
query_357,0.21,1,0.60,2.86
query_288,0.29,1,0.69,2.41
query_289,0.15,0,0.00,0.00
query_435,0.20,1,0.61,2.97
query_646,0.23,13,8.30,36.50
query_17,0.40,1,0.97,2.43
query_468,0.26,1,0.66,2.60
query_596,0.21,1,0.28,1.37
query_631,0.12,1,0.55,4.50
query_358,0.48,2,1.86,3.90
query_146,0.12,1,0.19,1.58
query_469,0.12,1,0.52,4.27
query_514,0.26,1,0.66,2.59
query_447,0.12,0,0.00,0.00
query_379,0.12,0,0.00,0.00
query_425,0.36,0,0.00,0.00
query_355,0.21,1,0.57,2.72
